"employeeAcctId","accountPasswordHash","employeeId"
"HurtadoJ@shelter.org","52dcb810931e20f7aa2f49b3510d3805",11000
"BrunettiS@shelter.org","ebb1142f48d20fddaff6362984bd8038",11001
"BooneI@shelter.org","68e65e7b2640745a2a3e975a95a17cca",11002
"BrunettiV@shelter.org","54b8029c9cee1b323f3b5688cf37deec",11003
"CroninA@shelter.org","68e65e7b2640745a2a3e975a95a17cca",11004
"el-OmerT@shelter.org","54b8029c9cee1b323f3b5688cf37deec",11005
"WainessS@shelter.org","31e2ab16d8c46fcd4eba4682834838ce",11006
"NicolelliR@shelter.org","68e65e7b2640745a2a3e975a95a17cca",11007
"al-ParsaH@shelter.org","68e65e7b2640745a2a3e975a95a17cca",11008
"WalkerB@shelter.org","02fe2b1a1f40501a43b88daa69f893fe",11009
"ThompsonM@shelter.org","7d6bdbb929ef1f5ffab53d561cd99924",11010
"ApodacaJ@shelter.org","02fe2b1a1f40501a43b88daa69f893fe",11011
"SnowC@shelter.org","52dcb810931e20f7aa2f49b3510d3805",11012
"SchoonG@shelter.org","68e65e7b2640745a2a3e975a95a17cca",11013
"LockenY@shelter.org","ebb1142f48d20fddaff6362984bd8038",11014
"StevensC@shelter.org","7e4143e023d8a7a03408008fff5c29a0",11015
"BeltranE@shelter.org","ebb1142f48d20fddaff6362984bd8038",11016
"ChatmanD@shelter.org","7d6bdbb929ef1f5ffab53d561cd99924",11017
"WeimerB@shelter.org","ebb1142f48d20fddaff6362984bd8038",11018
"ToneyJ@shelter.org","68e65e7b2640745a2a3e975a95a17cca",11019
"BegayC@shelter.org","7e4143e023d8a7a03408008fff5c29a0",11020
"RuizGarciaM@shelter.org","52dcb810931e20f7aa2f49b3510d3805",11021
"BrunerD@shelter.org","31e2ab16d8c46fcd4eba4682834838ce",11022
"KirchhoeferV@shelter.org","ebb1142f48d20fddaff6362984bd8038",11023
"OscarsonC@shelter.org","ebb1142f48d20fddaff6362984bd8038",11024
"Austin JrE@shelter.org","ebb1142f48d20fddaff6362984bd8038",11025
"MeyerJ@shelter.org","31e2ab16d8c46fcd4eba4682834838ce",11026
"RedhorseS@shelter.org","52dcb810931e20f7aa2f49b3510d3805",11027
"el-AzerI@shelter.org","02fe2b1a1f40501a43b88daa69f893fe",11028
"UlloaN@shelter.org","52dcb810931e20f7aa2f49b3510d3805",11029
"HubbardA@shelter.org","ebb1142f48d20fddaff6362984bd8038",11030
"NunnaT@shelter.org","7d6bdbb929ef1f5ffab53d561cd99924",11031
"StonestreetT@shelter.org","7e4143e023d8a7a03408008fff5c29a0",11032
"SaldanoM@shelter.org","ebb1142f48d20fddaff6362984bd8038",11033
"TorrezJ@shelter.org","02fe2b1a1f40501a43b88daa69f893fe",11034
"DavisD@shelter.org","02fe2b1a1f40501a43b88daa69f893fe",11035
"HairstonD@shelter.org","52dcb810931e20f7aa2f49b3510d3805",11036
"ThomasJ@shelter.org","02fe2b1a1f40501a43b88daa69f893fe",11037
"LeilA@shelter.org","ebb1142f48d20fddaff6362984bd8038",11038
"al-HaqI@shelter.org","7e4143e023d8a7a03408008fff5c29a0",11039
"TapizK@shelter.org","ebb1142f48d20fddaff6362984bd8038",11040
"MellonV@shelter.org","ebb1142f48d20fddaff6362984bd8038",11041
"al-PashiaH@shelter.org","02fe2b1a1f40501a43b88daa69f893fe",11042
"TanksJ@shelter.org","7e4143e023d8a7a03408008fff5c29a0",11043
"VasquezD@shelter.org","54b8029c9cee1b323f3b5688cf37deec",11044
"AdamsD@shelter.org","7e4143e023d8a7a03408008fff5c29a0",11045
"DanielsonV@shelter.org","7d6bdbb929ef1f5ffab53d561cd99924",11046
"DelarosaK@shelter.org","7e4143e023d8a7a03408008fff5c29a0",11047
"SmithJ@shelter.org","52dcb810931e20f7aa2f49b3510d3805",11048
"KazeeA@shelter.org","54b8029c9cee1b323f3b5688cf37deec",11049
