employeeId,title,grade,lastName,firstName,emailAddress,userAddress,userCity,userState,userZipCode,phone,birthDate
11000,Foster Coordinator,7,Hurtado,Joseph,HurtadoJ@shelter.org,834 Cabell Ct,Springfield,VA,22150,428-297-3851,2004-06-14
11001,Foster Coordinator,4,Brunetti,Steve,BrunettiS@shelter.org,155 Hillwood Avenue,Falls Church,VA,22046,386-693-8546,1956-10-05
11002,Foster Volunteer,2,Boone,Isiah,BooneI@shelter.org,501 3rd St NW,Washington,DC,20001,249-245-1963,1995-10-13
11003,Foster Coordinator,9,Brunetti,Verenisi,BrunettiV@shelter.org,3100 14th St NW,Washington,DC,20010,463-143-8954,1958-12-22
11004,Foster Volunteer,1,Cronin,Asia,CroninA@shelter.org,2501 9th Rd S,Arlington,VA,22204,357-348-9567,1948-08-06
11005,Foster Coordinator,2,el-Omer,Taiseer,el-OmerT@shelter.org,300 N Glebe Rd,Arlington,VA,22203,743-596-2814,1948-08-09
11006,Administrator,1,Wainess,Shannon Grace,WainessS@shelter.org,1201 S Hayes St,Arlington,VA,22202,291-315-7642,1998-12-28
11007,Foster Coordinator,5,Nicolelli,Ryan,NicolelliR@shelter.org,1200 N Veitch St,Arlington,VA,22201,973-847-6732,2002-10-02
11008,Administrator,9,al-Parsa,Haneef,al-ParsaH@shelter.org,1625 Wilson Blvd,Arlington,VA,22209,971-268-1826,1977-01-17
11009,Foster Volunteer,7,Walker,Brianna,WalkerB@shelter.org,707 Larchmont Ave,Capitol Heights,MD,20743,745-135-6594,2009-12-01
11010,Foster Coordinator,4,Thompson,Michael,ThompsonM@shelter.org,653 Morton Pl NE,Washington,DC,20002,635-679-4391,1977-10-24
11011,Foster Coordinator,5,Apodaca,Joseph,ApodacaJ@shelter.org,3326 E St SE,Washington,DC,20019,569-926-3621,1961-04-11
11012,Foster Coordinator,3,Snow,Caleb,SnowC@shelter.org,5400 Cathedral Ave NW,Washington,DC,20016,682-385-5146,1966-06-13
11013,Foster Coordinator,9,Schoon,Gagan,SchoonG@shelter.org,5886 Leesburg Pike,Falls Church,VA,22041,762-513-1674,1967-01-02
11014,Foster Volunteer,5,Locken,Yechan,LockenY@shelter.org,7451 Patterson Rd,Falls Church,VA,22043,185-546-9123,1971-08-03
11015,Foster Volunteer,4,Stevens,Cassandra,StevensC@shelter.org,809 Graham Rd,Falls Church,VA,22042,473-418-1578,2008-08-10
11016,Foster Volunteer,8,Beltran,Emilia,BeltranE@shelter.org,6211 Leesburg Pike,Falls Church,VA,22044,895-528-5386,2009-02-17
11017,Foster Coordinator,6,Chatman,Deanna,ChatmanD@shelter.org,843 Cabell Avenue,Charlottesville,VA,22903,352-894-2849,1965-08-20
11018,Foster Volunteer,7,Weimer,Benjamin,WeimerB@shelter.org,5840 Crossroads Ctr,Falls Church,VA,22041,821-952-2871,1953-02-04
11019,Administrator,7,Toney,Jordan,ToneyJ@shelter.org,7541 Leesburg Pike,Falls Church,VA,22043,478-457-9753,1974-05-10
11020,Foster Coordinator,10,Begay,Christian,BegayC@shelter.org,5300 Wisconsin Ave NW,Washington,DC,20015,639-617-8214,1988-12-31
11021,Foster Coordinator,4,Ruiz Garcia,Maritza,RuizGarciaM@shelter.org,1201 G St NW,Washington,DC,20005,825-374-2356,1967-04-30
11022,Administrator,6,Bruner,Debra,BrunerD@shelter.org,5333 Wisconsin Ave NW,Washington,DC,20015,697-519-8952,1962-03-03
11023,Foster Coordinator,4,Kirchhoefer,Vincenzo,KirchhoeferV@shelter.org,2747 Martin Luther King Jr Ave SE,Washington,DC,20032,416-174-3248,1968-11-01
11024,Foster Volunteer,1,Oscarson,Candice,OscarsonC@shelter.org,3921 S Capitol St SW,Washington,DC,20032,982-521-4579,1986-03-14
11025,Foster Volunteer,4,Austin Jr,Elijah,Austin JrE@shelter.org,1608 20th St NW,Washington,DC,20009,192-879-3159,1985-10-04
11026,Foster Coordinator,6,Meyer,Julian,MeyerJ@shelter.org,5100 Wisconsin Ave NW,Washington,DC,20016,529-245-9685,1965-11-24
11027,Foster Volunteer,4,Redhorse,Sandra,RedhorseS@shelter.org,1440 P St NW,Washington,DC,20005,823-584-5213,2002-08-03
11028,Administrator,2,el-Azer,Ilyaas,el-AzerI@shelter.org,1345 Park Rd NW,Washington,DC,20010,168-541-9386,1968-01-23
11029,Administrator,2,Ulloa,Nathan,UlloaN@shelter.org,1924 8th St NW,Washington,DC,20001,172-438-6582,1955-07-31
11030,Foster Coordinator,6,Hubbard,Annika,HubbardA@shelter.org,1317 Pennsylvania Ave SE,Washington,DC,20003,628-653-7128,1967-05-07
11031,Foster Volunteer,6,Nunna,Timothy,NunnaT@shelter.org,4616 14th St NW,Washington,DC,20011,594-731-8759,1971-08-22
11032,Foster Volunteer,4,Stonestreet,Tyrel,StonestreetT@shelter.org,826 18th St NW,Washington,DC,20006,126-564-8391,2004-02-15
11033,Foster Coordinator,9,Saldano,Maria,SaldanoM@shelter.org,1101 25th St NW,Washington,DC,20037,812-732-9265,1986-01-17
11034,Foster Coordinator,10,Torrez,Jose,TorrezJ@shelter.org,1319 18th St NW,Washington,DC,20036,821-542-9716,2004-05-24
11035,Foster Coordinator,7,Davis,Danaya,DavisD@shelter.org,1807 18th St NW,Washington,DC,20009,891-567-6257,1996-01-10
11036,Foster Coordinator,3,Hairston,Dewayne,HairstonD@shelter.org,300 Morse St NE,Washington,DC,20002,839-826-8736,1962-11-23
11037,Foster Volunteer,10,Thomas,Jeremy,ThomasJ@shelter.org,516 23rd St NW,Washington,DC,20037,178-817-4972,1953-08-28
11038,Foster Coordinator,4,Leil,Ashley,LeilA@shelter.org,529 14th St NW,Washington,DC,20045,876-964-8192,1951-04-19
11039,Foster Volunteer,9,al-Haq,Ishaaq,al-HaqI@shelter.org,901 17th St NE,Washington,DC,20002,163-243-4287,1957-06-10
11040,Foster Coordinator,9,Tapiz,Kathia,TapizK@shelter.org,94 Palmer Aly NW,Washington,DC,20001,921-354-8134,1963-08-16
11041,Administrator,9,Mellon,Vincent,MellonV@shelter.org,1548 Benning Rd NE,Washington,DC,20002,479-261-4925,2003-10-06
11042,Administrator,2,al-Pashia,Hiba,al-PashiaH@shelter.org,2305 Rhode Island Ave NE,Washington,DC,20018,631-978-4619,2000-03-04
11043,Foster Volunteer,2,Tanks,Jordan,TanksJ@shelter.org,1251 9th St NW,Washington,DC,20001,683-735-5329,1960-01-15
11044,Foster Coordinator,6,Vasquez,Desiree,VasquezD@shelter.org,908 17th St NW,Washington,DC,20006,647-453-7539,2011-06-24
11045,Foster Coordinator,10,Adams,Diamond,AdamsD@shelter.org,111 19th St NW,Washington,DC,20036,541-287-5462,1955-10-11
11046,Foster Volunteer,4,Danielson,Vidath,DanielsonV@shelter.org,1230 New York Ave NE,Washington,DC,20002,359-834-5983,2009-04-05
11047,Foster Coordinator,4,Delarosa,Kaley,DelarosaK@shelter.org,3030 M St NW,Washington,DC,20007,183-578-8154,1974-12-17
11048,Foster Coordinator,7,Smith,Joseph,SmithJ@shelter.org,2516 Columbia Pike,Arlington,VA,22204,419-314-9832,1960-03-13
11049,Foster Volunteer,6,Kazee,Aaron,KazeeA@shelter.org,1211 Glebe Rd,Arlington,VA,22201,347-561-5891,1962-10-18
