fosterId,lastName,firstName,emailAddress,gender,userAddress,userCity,userState,userZipCode,phone,birthDate,employmentStatus,specialNeedsExp,hoursAway,applicationId
51350,Hoang,Tenzin,HoangT@yahoo.com,female,834 Cabell Ct,Springfield,VA,22150,173-764-6125,1992-07-05,Employed,no,9,61000
51351,Laplante,Sierra,LaplanteS@yahoo.com,female,7541 Leesburg Pike,Falls Church,VA,22043,398-158-9172,1994-02-22,Student,no,6,61001
51352,Parks,Kourtney,ParksK@msn.com,female,1924 8th St NW,Washington,DC,20001,678-415-7134,1974-04-03,Employed,no,5,61002
51353,al-Shams,Haamida,al-ShamsH@gmail.com,female,901 17th St NE,Washington,DC,20002,529-592-2458,1975-06-10,Employed,no,7,61003
51354,al-Musa,Fawzia,al-MusaF@aol.com,female,1211 Glebe Rd,Arlington,VA,22201,185-267-4327,2009-03-06,Student,no,8,61004
51355,Songer,Cheyenne,SongerC@yahoo.com,female,1800 N Oak St,Arlington,VA,22209,352-874-7318,1975-02-16,Student,no,11,61005
51356,Tovar,Marissa,TovarM@msn.com,female,1810 N Moore St,Arlington,VA,22209,296-321-9514,1963-04-02,Unemployed,no,4,61006
51357,al-Samaan,Ramziyya,al-SamaanR@gmail.com,female,1320N Veitch St,Arlington,VA,22201,135-472-6125,1974-09-03,Unemployed,yes,3,61007
51358,Trujillo,Savannah,TrujilloS@aol.com,female,5340 Holmes Run Pkwy,Alexandria,VA,22304,423-698-4819,1998-06-25,Unemployed,no,7,61008
51359,Vallerano,Shantell,ValleranoS@aol.com,female,707 Larchmont Ave,Capitol Heights,MD,20743,517-217-5371,2001-07-14,Employed,yes,9,61009
51360,al-Abdoo,Khaleela,al-AbdooK@msn.com,female,3326 E St SE,Washington,DC,20019,163-871-3254,1992-03-16,Student,yes,8,61010
51361,Molett,Lauren,MolettL@yahoo.com,female,5400 Cathedral Ave NW,Washington,DC,20016,813-865-4518,1974-04-19,Employed,yes,6,61011
51362,Thurlow,Shalene,ThurlowS@aol.com,female,5886 Leesburg Pike,Falls Church,VA,22041,354-254-2537,1949-12-11,Retired,no,1,61012
51363,Burgos-Contreras,Araceli,Burgos-ContrerasA@gmail.com,female,7451 Patterson Rd,Falls Church,VA,22043,841-923-6931,1962-01-27,Employed,yes,4,61013
51364,Kierstead,Laurissa,KiersteadL@msn.com,female,809 Graham Rd,Falls Church,VA,22042,854-127-1274,1986-08-28,Employed,yes,9,61014
51365,al-Hashem,Rashaa,al-HashemR@yahoo.com,female,6211 Leesburg Pike,Falls Church,VA,22044,629-423-2597,2011-05-12,Student,yes,12,61015
51366,Lee,Leandra,LeeL@aol.com,female,843 Cabell Avenue,Charlottesville,VA,22903,273-781-2648,1951-04-06,Retired,no,8,61016
51367,Reed,Darian,ReedD@gmail.com,female,5840 Crossroads Ctr,Falls Church,VA,22041,438-132-5973,1972-09-25,Employed,no,8,61017
51368,Hutchinson,Tanay,HutchinsonT@msn.com,female,155 Hillwood Avenue,Falls Church,VA,22046,517-462-5719,1976-12-30,Employed,no,4,61018
51369,el-Popal,Kaazima,el-PopalK@aol.com,female,5300 Wisconsin Ave NW,Washington,DC,20015,964-816-4792,1977-07-20,Employed,no,3,61019
51370,al-Kaiser,Hadeel,al-KaiserH@gmail.com,female,1201 G St NW,Washington,DC,20005,816-378-1763,2011-12-20,Employed,no,4,61020
51371,Whalen,Hannah,WhalenH@msn.com,female,5333 Wisconsin Ave NW,Washington,DC,20015,324-859-6541,2001-12-26,Employed,no,8,61021
51372,Gonzalez,Nancy,GonzalezN@yahoo.com,female,2747 Martin Luther King Jr Ave SE,Washington,DC,20032,186-265-4796,2000-10-31,Employed,no,6,61022
51373,al-Karim,Shaamila,al-KarimS@aol.com,female,3921 S Capitol St SW,Washington,DC,20032,589-485-4193,1996-07-04,Student,no,2,61023
51374,Vavak,Carie,VavakC@gmail.com,female,1608 20th St NW,Washington,DC,20009,876-472-3674,1954-04-15,Employed,no,4,61024
51375,Albers,Shannon,AlbersS@msn.com,female,5100 Wisconsin Ave NW,Washington,DC,20016,362-326-2738,1999-11-25,Employed,no,8,61025
51376,Ornelas,Victoria,OrnelasV@yahoo.com,female,1440 P St NW,Washington,DC,20005,618-956-9781,2011-06-11,Student,no,2,61026
51377,Lopez Lucio,Iris,Lopez LucioI@aol.com,female,1345 Park Rd NW,Washington,DC,20010,976-413-3792,1950-02-21,Retired,no,1,61027
