fosterId,lastName,firstName,emailAddress,gender,userAddress,userCity,userState,userZipCode,phone,birthDate,employmentStatus,fosterActivity,specialNeedsExp,hoursAway,applicationId
51000,Kongsomboonvech,Kelsey,KongsomboonvechK@msn.com,female,834 Cabell Ct,Springfield,VA,22150,152-735-2365,1950-10-06,Retired,Active Foster,no,9,61100
51001,Peterson,Katarina,PetersonK@gmail.com,female,12806 Madeley Ct,Fairfax,VA,22033,176-937-8756,1952-04-18,Unemployed,Active Foster,yes,12,61101
51002,Bell,Brianna,BellB@aol.com,female,501 3rd St NW,Washington,DC,20001,581-816-3287,1958-08-11,Retired,Active Foster,no,6,61102
51003,el-Hashim,Saalima,el-HashimS@msn.com,female,2400 Queens Chapel Rd,Hyattsville,MD,20782,645-854-7391,2004-02-29,Retired,Active Foster,yes,12,61103
51004,el-Minhas,Azza,el-MinhasA@gmail.com,female,3601 Newark St NW,Washington,DC,20016,871-361-1896,1971-11-27,Employed,Inactive Foster,yes,12,61104
51005,Cornejo,Tiana,CornejoT@aol.com,female,4283 Fox Lake Dr,Fairfax,VA,22030,496-973-7514,1978-07-10,Unemployed,Inactive Foster,yes,8,61105
51006,Trujillo,Maria,TrujilloM@aol.com,female,7205 Arrowood Rd,Bethesda,MD,20817,795-467-4153,1948-09-13,Student,Active Foster,no,5,61106
51007,al-Rahaim,Abeer,al-RahaimA@msn.com,female,3301 Fessenden St NW,Washington,DC,20008,732-621-1769,2003-09-12,Student,Active Foster,no,4,61107
51008,Villalobos Gonzalez,Leticia,Villalobos GonzalezL@gmail.com,female,1402 S St NW,Washington,DC,20009,163-196-7168,2000-11-25,Retired,Inactive Foster,no,3,61108
51009,Elhussen,Tiara,ElhussenT@aol.com,female,707 Larchmont Ave,Capitol Heights,MD,20743,976-847-5431,1999-09-25,Student,Inactive Foster,no,5,61109
51010,al-Rasul,Zumruda,al-RasulZ@msn.com,female,7541 Leesburg Pike,Falls Church,VA,22043,246-374-3158,2000-07-11,Student,Active Foster,yes,9,61110
51011,Richardson,Hannah,RichardsonH@gmail.com,female,1924 8th St NW,Washington,DC,20001,241-362-4721,1978-02-21,Employed,Active Foster,no,10,61111
51012,Schill,Krista,SchillK@aol.com,female,901 17th St NE,Washington,DC,20002,831-694-4387,1968-03-26,Employed,Inactive Foster,no,4,61112
51013,Viurquez-Flores,Tonya,Viurquez-FloresT@aol.com,female,1211 Glebe Rd,Arlington,VA,22201,413-869-1253,1962-10-16,Unemployed,Inactive Foster,no,9,61113
51014,Salazar,Karlena,SalazarK@msn.com,female,1800 N Oak St,Arlington,VA,22209,517-274-6935,1961-11-06,Employed,Active Foster,no,4,61114
51015,al-Minhas,Abeer,al-MinhasA@gmail.com,female,1810 N Moore St,Arlington,VA,22209,781-695-8796,1980-09-13,Employed,Active Foster,no,6,61115
51016,Le,Sophia,LeS@aol.com,female,1320N Veitch St,Arlington,VA,22201,852-537-7613,1951-05-26,Employed,Active Foster,no,8,61116
51017,Lehi,Misty,LehiM@aol.com,female,5340 Holmes Run Pkwy,Alexandria,VA,22304,289-712-9652,1990-01-13,Student,Inactive Foster,yes,9,61117
51018,Khan-Akbari,Pa Ying,Khan-AkbariP@msn.com,female,13205 Franklin View Ct,Fairfax,VA,22033,852-689-5496,1948-03-23,Employed,Active Foster,no,10,61118
51019,al-Badour,Khaira,al-BadourK@msn.com,female,9931 Great Oaks Way,Fairfax,VA,22030,583-589-1243,1951-08-07,Employed,Active Foster,yes,9,61119
51020,al-Rassi,Umaira,al-RassiU@gmail.com,female,7342 Heatherhill Ct,Bethesda,MD,20817,941-936-2391,1969-01-04,Employed,Inactive Foster,yes,6,61120
51021,Schmitt,Hannah,SchmittH@aol.com,female,2815 Woodland Dr NW,Washington,DC,20008,936-492-2943,1993-05-15,Employed,Active Foster,yes,11,61121
51022,Rico,Adora,RicoA@aol.com,female,629 4th ST NE,Washington,DC,20002,271-798-6329,1947-04-10,Student,Inactive Foster,no,6,61122
51023,al-Haque,Raadiya,al-HaqueR@msn.com,female,731 Upland Pl,Alexandria,VA,22314,582-182-6179,1981-02-20,Employed,Inactive Foster,yes,3,61123
51024,Gonzalez,Jennifer,GonzalezJ@gmail.com,female,3138 Barkely Dr,Fairfax,VA,22031,192-248-7293,1971-04-04,Employed,Active Foster,no,9,61124
51025,Leigh,Samantha,LeighS@aol.com,female,2605 Midway St,Falls Church,VA,22046,572-832-3726,1955-10-05,Unemployed,Active Foster,no,9,61125
51026,Mendoza,Alejandra,MendozaA@aol.com,female,3222 Cherry Hill Ln NW,Washington,DC,20007,269-659-4139,1951-11-12,Retired,Inactive Foster,no,8,61126
51027,Villanueva,Natalia,VillanuevaN@msn.com,female,834 Cabell Ct,Springfield,VA,22150,568-793-2186,1994-07-30,Employed,Active Foster,no,9,61127
51028,Kwon,Kayla,KwonK@gmail.com,female,155 Hillwood Avenue,Falls Church,VA,22046,497-468-2135,1976-01-17,Retired,Inactive Foster,no,11,61128
51029,Deere,Trina,DeereT@gmail.com,female,1924 8th St NW,Washington,DC,20001,983-265-4726,1947-04-11,Employed,Inactive Foster,no,2,61129
51030,el-Allee,Israa,el-AlleeI@aol.com,female,901 17th St NE,Washington,DC,20002,571-821-2651,1951-06-28,Student,Active Foster,no,8,61130
51031,el-Abdallah,Safwa,el-AbdallahS@aol.com,female,1211 Glebe Rd,Arlington,VA,22201,735-351-4985,1968-05-01,Student,Inactive Foster,no,6,61131
51032,Toler,Angelika,TolerA@msn.com,female,1800 N Oak St,Arlington,VA,22209,736-847-1742,2008-10-17,Employed,Active Foster,no,2,61132
51033,Mcfarland,Jane,McfarlandJ@gmail.com,female,1810 N Moore St,Arlington,VA,22209,974-294-4763,1986-02-06,Employed,Active Foster,no,10,61133
51034,Swift,Elizabeth,SwiftE@aol.com,female,1320N Veitch St,Arlington,VA,22201,325-614-6537,1957-09-24,Employed,Active Foster,no,7,61134
